,title,duration,views,release_date
0,"We Need to Start Climate Engineering Soon, New Study Says",8,24000,2023-11-13
1,Record Quantum Computation at D-Wave: Millions of Years Down To Seconds,7,215000,2023-11-12
2,New Idea Solves Three Physics Mysteries at Once: Post Quantum Gravity,7,348000,2023-11-11
3,"Meta Lawsuit Successful, Major Spam Domain Provider Shuts Down",6,73000,2023-11-10
4,"Dark Matter Could Form Stars, New Theory Says",6,122000,2023-11-09
5,The String Theory Wars and What Happened Next,25,363000,2023-11-08
6,These New Heat Pumps Will Make a Real Difference,9,383000,2023-11-07
7,New Rumours that AI Has Become Sentient.,4,221000,2023-11-06
8,Compact Disks make Comeback: Memory could Exceed Petabytes,6,502000,2023-11-05
9,Anti-Matter: The Future of Interstellar Journeys?,9,183000,2023-11-04
10,Scientists warn of AI collapse,5,540000,2023-11-03
11,New Quantum Computing Approach Makes Rapid Progress,8,193000,2023-11-02
12,Black holes might be dark stars with layers: New solution found,8,352000,2023-11-01
13,Astrophysicists keep finding things that “shouldn’t exist”. I think I know why.,9,284000,2023-10-31
14,First quantum measurement of gravity: What does it mean?,8,230000,2023-10-30
15,I Was Worried about Climate Change. Now I worry about Climate Scientists.,9,494000,2023-10-29
16,Quantum Inertia Drive put to Test. It didn't go as planned.,9,177000,2023-10-28
17,Revise the textbooks: New type of magnetism confirmed,6,347000,2023-10-27
18,Do we create reality with our mind? A physicist's reply.,6,182000,2023-10-26
19,"Radical New Theory Says we got Energy Conservation Wrong, That's Why we Need Dark Energy",7,372000,2023-10-25
20,"Hydrogen Might Self-Renew, Reservoir found in France",8,300000,2023-10-24
21,Bad News for Quantum Computing: Another Advantage Gone,7,558000,2023-10-23
22,Chinese Maglev Train breaks Speed Record: Is this the Future of Transportation?,5,152000,2023-10-22
23,Good News: Small Nuclear Thorium Reactors are Coming to Europe,7,324000,2023-10-21
24,Artificial Intelligence played Wargames. The result isn't reassuring.,6,397000,2023-10-20
25,Alarming: Fraud spreads in Science -- and I fear it will become worse,7,243000,2023-10-19
26,New time crystal stable for more than 40 minutes: Nobel Prize on the way?,7,355000,2023-10-18
